glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
🈸,Japanese “application” button,日文的“申请”按钮,application | button | ideograph | Japanese,日文 | 日文的“申请”按钮 | 日本 | 日语 | 申 | 申请 | 申请书 | 申请表 | 表意文字,CLDR release-46 annotations
🈹,Japanese “discount” button,日文的“打折”按钮,button | discount | ideograph | Japanese,割 | 打折 | 折扣 | 按键 | 日文 | 日文的“打折”按钮 | 日本 | 表意文字,CLDR release-46 annotations
🈺,Japanese “open for business” button,日文的“开始营业”按钮,business | button | ideograph | Japanese | open,开门 | 按键 | 日文 | 日文的“开始营业”按钮 | 日本 | 营 | 营业 | 营业中 | 表意文字,CLDR release-46 annotations
🉐,Japanese “bargain” button,日文的“议价”按钮,bargain | button | ideograph | Japanese,得 | 按键 | 日文 | 日文的“议价”按钮 | 日本 | 表意文字 | 讨价还价,CLDR release-46 annotations
🉑,Japanese “acceptable” button,日文的“可接受”按钮,acceptable | button | ideograph | Japanese,可 | 可接受 | 按键 | 日文 | 日文的“可接受”按钮 | 日本 | 表意文字 | 许可,CLDR release-46 annotations
🌀,cyclone,台风,cyclone | dizzy | hurricane | twister | typhoon | weather,台风 | 天气 | 旋风 | 晕 | 气旋 | 飓风 | 龙卷风,CLDR release-46 annotations
🌁,foggy,有雾,fog | foggy,有雾 | 雾 | 霾,CLDR release-46 annotations
🌂,closed umbrella,收起的伞,closed | clothing | rain | umbrella,下雨 | 伞 | 收起的伞 | 雨 | 雨伞,CLDR release-46 annotations
🌃,night with stars,夜晚,night | star | stars,夜晚 | 星空 | 晚上,CLDR release-46 annotations
🌄,sunrise over mountains,山顶日出,morning | mountains | over | sun | sunrise,太阳 | 山 | 山顶日出 | 日出 | 早晨 | 清晨,CLDR release-46 annotations
🌅,sunrise,日出,morning | nature | sun | sunrise,大自然 | 太阳 | 日出 | 早晨 | 清晨,CLDR release-46 annotations
🌆,cityscape at dusk,城市黄昏,at | building | city | cityscape | dusk | evening | landscape | sun | sunset,城市 | 城市黄昏 | 夜晚 | 日落 | 都市 | 黄昏,CLDR release-46 annotations
🌇,sunset,日落,building | dusk | sun | sunset,夕阳 | 日落,CLDR release-46 annotations
🌈,rainbow,彩虹,gay | genderqueer | glbt | glbtq | lesbian | lgbt | lgbtq | lgbtqia | nature | pride | queer | rain | rainbow | trans | transgender | weather,LGBT | 双性恋 | 同志 | 彩虹 | 跨性别,CLDR release-46 annotations
🌉,bridge at night,夜幕下的桥,at | bridge | night,夜幕 | 夜幕下的桥 | 晚上 | 桥,CLDR release-46 annotations
🌊,water wave,浪花,nature | ocean | surf | surfer | surfing | water | wave,波浪 | 浪 | 浪花 | 海洋,CLDR release-46 annotations
🌋,volcano,火山,eruption | mountain | nature | volcano,喷发 | 大自然 | 山 | 火山 | 爆发,CLDR release-46 annotations
🌌,milky way,银河,milky | space | way,太空 | 星空 | 银河,CLDR release-46 annotations
🌍,globe showing Europe-Africa,地球上的欧洲非洲,Africa | earth | Europe | Europe-Africa | globe | showing | world,世界 | 地球 | 地球上的欧洲非洲 | 欧洲 | 非洲,CLDR release-46 annotations
🌎,globe showing Americas,地球上的美洲,Americas | earth | globe | showing | world,世界 | 全球 | 地球 | 地球上的美洲 | 美洲,CLDR release-46 annotations
🌏,globe showing Asia-Australia,地球上的亚洲澳洲,Asia | Asia-Australia | Australia | earth | globe | showing | world,世界 | 亚洲 | 亚澳 | 全球 | 地球 | 地球上的亚洲 | 地球上的亚洲澳洲 | 澳洲,CLDR release-46 annotations
🌐,globe with meridians,带经纬线的地球,earth | globe | internet | meridians | web | world | worldwide,世界 | 全球 | 地球 | 子午线 | 带经纬线的地球 | 经纬 | 经线,CLDR release-46 annotations
🌑,new moon,朔月,dark | moon | new | space,新月 | 月亮 | 朔月,CLDR release-46 annotations
🌒,waxing crescent moon,蛾眉月,crescent | dreams | moon | space | waxing,三日月 | 娥眉月 | 弯月 | 月亮 | 盈月 | 眉月 | 蛾眉月,CLDR release-46 annotations
🌓,first quarter moon,上弦月,first | moon | quarter | space,上弦月 | 月亮,CLDR release-46 annotations
🌔,waxing gibbous moon,盈凸月,gibbous | moon | space | waxing,月亮 | 盈凸月,CLDR release-46 annotations
🌕,full moon,满月,full | moon | space,月亮 | 望月 | 满月,CLDR release-46 annotations
🌖,waning gibbous moon,亏凸月,gibbous | moon | space | waning,亏凸月 | 月亮 | 衰落,CLDR release-46 annotations
🌗,last quarter moon,下弦月,last | moon | quarter | space,下弦月 | 月亮,CLDR release-46 annotations
🌘,waning crescent moon,残月,crescent | moon | space | waning,亏眉月 | 弯月 | 月亮 | 残月,CLDR release-46 annotations
🌙,crescent moon,弯月,crescent | moon | ramadan | space,娥眉月 | 弯月 | 新月形 | 月亮 | 残月 | 蛾眉月,CLDR release-46 annotations
🌚,new moon face,微笑的朔月,face | moon | new | space,微笑的朔月 | 新月 | 月亮 | 朔月,CLDR release-46 annotations
🌛,first quarter moon face,微笑的上弦月,face | first | moon | quarter | space,上弦月 | 微笑的上弦月 | 月亮 | 蛾眉月,CLDR release-46 annotations
🌜,last quarter moon face,微笑的下弦月,dreams | face | last | moon | quarter,下弦月 | 微笑的下弦月 | 月亮 | 残月,CLDR release-46 annotations
🌝,full moon face,微笑的月亮,bright | face | full | moon,微笑的月亮 | 月亮 | 望月 | 满月,CLDR release-46 annotations
🌞,sun with face,微笑的太阳,beach | bright | day | face | heat | shine | sun | sunny | sunshine | weather,太阳 | 微笑的太阳 | 温暖阳光 | 阳光明媚,CLDR release-46 annotations
🌟,glowing star,闪亮的星星,glittery | glow | glowing | night | shining | sparkle | star | win,发光 | 星星 | 闪亮 | 闪亮的星星 | 闪光,CLDR release-46 annotations
🌠,shooting star,流星,falling | night | shooting | space | star,夜晚 | 太空 | 星空 | 流星 | 陨落之星,CLDR release-46 annotations
🌡,thermometer,温度计,thermometer | weather,天气 | 气温 | 温度 | 温度计,CLDR release-46 annotations
🌤,sun behind small cloud,晴偶有云,behind | cloud | sun | weather,云 | 天气 | 太阳 | 少云 | 晴 | 晴偶有云 | 阴,CLDR release-46 annotations
🌥,sun behind large cloud,多云,behind | cloud | sun | weather,云 | 多云 | 太阳 | 泠 | 阴,CLDR release-46 annotations
🌦,sun behind rain cloud,晴转雨,behind | cloud | rain | sun | weather,下雨 | 云 | 天气 | 太阳 | 晴时多云偶阵雨 | 晴转雨 | 雨,CLDR release-46 annotations
🌧,cloud with rain,下雨,cloud | rain | weather,下雨 | 云 | 天气 | 雨,CLDR release-46 annotations
🌨,cloud with snow,下雪,cloud | cold | snow | weather,下雪 | 云 | 天气 | 雪,CLDR release-46 annotations
🌩,cloud with lightning,打雷,cloud | lightning | weather,云 | 天气 | 打雷 | 闪电 | 雷,CLDR release-46 annotations
🌪,tornado,龙卷风,cloud | tornado | weather | whirlwind,云 | 天气 | 旋风 | 龙卷风,CLDR release-46 annotations
🌫,fog,雾,cloud | fog | weather,云 | 雾 | 霾,CLDR release-46 annotations
🌬,wind face,大风,blow | cloud | face | wind,大风 | 狂风 | 风吹,CLDR release-46 annotations
🌭,hot dog,热狗,dog | frankfurter | hot | hotdog | sausage,热狗 | 香肠,CLDR release-46 annotations
🌮,taco,墨西哥卷饼,mexican | taco,卷饼 | 玉米卷饼 | 墨西哥 | 墨西哥卷饼 | 墨西哥玉米卷,CLDR release-46 annotations
🌯,burrito,墨西哥玉米煎饼,burrito | mexican | wrap,卷饼 | 玉米煎饼 | 墨西哥 | 墨西哥卷饼 | 墨西哥玉米煎饼,CLDR release-46 annotations
🌰,chestnut,栗子,almond | chestnut | plant,杏仁 | 栗子,CLDR release-46 annotations
🌱,seedling,幼苗,plant | sapling | seedling | sprout | young,发芽 | 幼苗 | 芽 | 苗,CLDR release-46 annotations
🌲,evergreen tree,松树,christmas | evergreen | forest | pine | tree,圣诞树 | 常青树 | 松树 | 树,CLDR release-46 annotations
🌳,deciduous tree,落叶树,deciduous | forest | green | habitat | shedding | tree,树 | 落叶 | 落叶树 | 落叶植物,CLDR release-46 annotations
🌴,palm tree,棕榈树,beach | palm | plant | tree | tropical,树 | 棕榈 | 棕榈树 | 热带,CLDR release-46 annotations
🌵,cactus,仙人掌,cactus | desert | drought | nature | plant,仙人掌 | 干旱 | 植物 | 沙漠,CLDR release-46 annotations
🌶,hot pepper,红辣椒,hot | pepper,红辣椒 | 辣 | 辣椒,CLDR release-46 annotations
🌷,tulip,郁金香,blossom | flower | growth | plant | tulip,开花 | 花 | 郁金香,CLDR release-46 annotations
🌸,cherry blossom,樱花,blossom | cherry | flower | plant | spring | springtime,樱花 | 花,CLDR release-46 annotations
🌹,rose,玫瑰,beauty | elegant | flower | love | plant | red | rose | valentine,优雅 | 玫瑰 | 红玫瑰 | 花,CLDR release-46 annotations
🌺,hibiscus,芙蓉,flower | hibiscus | plant,木槿 | 植物 | 芙蓉 | 花,CLDR release-46 annotations
🌻,sunflower,向日葵,flower | outdoors | plant | sun | sunflower,向日葵 | 太阳 | 太阳花 | 花,CLDR release-46 annotations
🌼,blossom,开花,blossom | buttercup | dandelion | flower | plant,开花 | 花 | 蒲公英,CLDR release-46 annotations
🌽,ear of corn,玉米,corn | crops | ear | farm | maize | maze,农作物 | 包谷 | 玉米 | 苞米,CLDR release-46 annotations
🌾,sheaf of rice,稻子,ear | grain | grains | plant | rice | sheaf,稻 | 稻子 | 米 | 粮食 | 谷物,CLDR release-46 annotations
🌿,herb,药草,herb | leaf | plant,草药 | 药草 | 香草,CLDR release-46 annotations
🍀,four leaf clover,四叶草,4 | clover | four | four-leaf | irish | leaf | lucky | plant,四叶草 | 幸运 | 爱尔兰的,CLDR release-46 annotations
🍁,maple leaf,枫叶,falling | leaf | maple,枫叶 | 树叶 | 秋叶 | 落叶,CLDR release-46 annotations
🍂,fallen leaf,落叶,autumn | fall | fallen | falling | leaf,叶 | 秋 | 落叶,CLDR release-46 annotations
🍃,leaf fluttering in wind,风吹叶落,blow | flutter | fluttering | leaf | wind,叶子 | 树叶 | 随风飘舞 | 风吹叶落,CLDR release-46 annotations
🍄,mushroom,蘑菇,fungus | mushroom | toadstool,毒蕈 | 真菌 | 蘑菇,CLDR release-46 annotations
🍅,tomato,西红柿,food | fruit | tomato | vegetable,水果 | 番茄 | 蔬菜 | 西红柿,CLDR release-46 annotations
🍆,eggplant,茄子,aubergine | eggplant | vegetable,茄子 | 蔬菜,CLDR release-46 annotations
🍇,grapes,葡萄,Dionysus | fruit | grape | grapes,水果 | 葡萄,CLDR release-46 annotations
🍈,melon,甜瓜,cantaloupe | fruit | melon,哈密瓜 | 水果 | 甜瓜 | 蜜瓜 | 香瓜,CLDR release-46 annotations
🍉,watermelon,西瓜,fruit | watermelon,水果 | 西瓜,CLDR release-46 annotations
🍊,tangerine,橘子,c | citrus | fruit | nectarine | orange | tangerine | vitamin,柑桔 | 柑橘 | 桔子 | 橘子 | 水果 | 油桃 | 维他命 C,CLDR release-46 annotations
🍋,lemon,柠檬,citrus | fruit | lemon | sour,柑橘 | 柠檬 | 水果 | 酸,CLDR release-46 annotations
🍌,banana,香蕉,banana | fruit | potassium,水果 | 钾 | 香蕉,CLDR release-46 annotations
🍍,pineapple,菠萝,colada | fruit | pina | pineapple | tropical,水果 | 热带 | 菠萝,CLDR release-46 annotations
🍎,red apple,红苹果,apple | diet | food | fruit | health | red | ripe,健康 | 水果 | 熟 | 红 | 红苹果 | 苹果 | 食物,CLDR release-46 annotations
🍏,green apple,青苹果,apple | fruit | green,水果 | 苹果 | 青 | 青苹果,CLDR release-46 annotations
🍐,pear,梨,fruit | pear,梨 | 水果,CLDR release-46 annotations
🍑,peach,桃,fruit | peach,桃 | 水果,CLDR release-46 annotations
🍒,cherries,樱桃,berries | cherries | cherry | fruit | red,樱桃 | 水果,CLDR release-46 annotations
🍓,strawberry,草莓,berry | fruit | strawberry,水果 | 浆果 | 草莓,CLDR release-46 annotations
🍔,hamburger,汉堡,burger | eat | fast | food | hamburger | hungry,吃 | 汉堡 | 汉堡包 | 速食 | 食物 | 饿,CLDR release-46 annotations
🍕,pizza,披萨,cheese | food | hungry | pepperoni | pizza | slice,一片比萨 | 披萨 | 比萨 | 比萨饼 | 起司 | 辣味香肠 | 食物 | 饿,CLDR release-46 annotations
🍖,meat on bone,排骨,bone | meat,带骨的肉 | 排骨 | 肉 | 骨,CLDR release-46 annotations
🍗,poultry leg,家禽的腿,bone | chicken | drumstick | hungry | leg | poultry | turkey,家禽 | 家禽的腿 | 火鸡 | 饿 | 骨 | 鸡肉 | 鸡腿,CLDR release-46 annotations
🍘,rice cracker,米饼,cracker | food | rice,米 | 米果 | 米饼 | 食物,CLDR release-46 annotations
🍙,rice ball,饭团,ball | food | Japanese | rice,日式饭团 | 日本 | 米 | 食物 | 饭团,CLDR release-46 annotations
🍚,cooked rice,米饭,cooked | food | rice,主食 | 米 | 米饭 | 食物 | 饭,CLDR release-46 annotations
🍛,curry rice,咖喱饭,curry | food | rice,咖喱 | 咖喱饭 | 食物 | 饭,CLDR release-46 annotations
🍜,steaming bowl,面条,bowl | chopsticks | food | noodle | pho | ramen | soup | steaming,拉面 | 河粉 | 热气腾腾 | 热气腾腾面碗 | 碗 | 筷子 | 面条 | 食物,CLDR release-46 annotations
🍝,spaghetti,意粉,food | meatballs | pasta | restaurant | spaghetti,意大利面 | 意粉 | 意面 | 肉丸 | 食物 | 餐厅,CLDR release-46 annotations
🍞,bread,面包,bread | carbs | food | grain | loaf | restaurant | toast | wheat,一条面包 | 全麦面包 | 小麦 | 淀粉 | 烤面包 | 谷类 | 面包 | 食物 | 餐厅,CLDR release-46 annotations
🍟,french fries,薯条,fast | food | french | fries,快餐 | 油炸 | 薯条 | 食物,CLDR release-46 annotations
🍠,roasted sweet potato,烤红薯,food | potato | roasted | sweet,地瓜 | 烤地瓜 | 烤红薯 | 红薯 | 食物,CLDR release-46 annotations
🍡,dango,团子,dango | dessert | Japanese | skewer | stick | sweet,串 | 和果子 | 团子 | 日本 | 甜点 | 糖葫芦,CLDR release-46 annotations
🍢,oden,关东煮,food | kebab | oden | restaurant | seafood | skewer | stick,串 | 关东煮 | 卡博 | 海鲜 | 食物 | 餐馆,CLDR release-46 annotations
🍣,sushi,寿司,food | sushi,寿司 | 食物,CLDR release-46 annotations
🍤,fried shrimp,天妇罗,fried | prawn | shrimp | tempura,天妇罗 | 对虾 | 油炸 | 炸虾 | 虾,CLDR release-46 annotations
🍥,fish cake with swirl,鱼板,cake | fish | food | pastry | restaurant | swirl,鱼 | 鱼板 | 鱼饼,CLDR release-46 annotations
🍦,soft ice cream,圆筒冰激凌,cream | dessert | food | ice | icecream | restaurant | serve | soft | sweet,冰淇淋 | 圆筒冰淇淋 | 圆筒冰激凌 | 甜 | 甜点 | 霜淇淋 | 食物,CLDR release-46 annotations
🍧,shaved ice,刨冰,dessert | ice | restaurant | shaved | sweet,冰 | 冰沙 | 刨冰 | 沙冰 | 甜 | 甜点 | 餐馆,CLDR release-46 annotations
🍨,ice cream,冰淇淋,cream | dessert | food | ice | restaurant | sweet,冰 | 冰淇淋 | 冰激凌 | 奶油 | 甜 | 甜点 | 雪糕,CLDR release-46 annotations
🍩,doughnut,甜甜圈,breakfast | dessert | donut | doughnut | food | sweet,甜 | 甜点 | 甜甜圈 | 食物,CLDR release-46 annotations
🍪,cookie,饼干,chip | chocolate | cookie | dessert | sweet,巧克力片 | 曲奇 | 曲奇饼 | 甜点 | 饼干,CLDR release-46 annotations
🍫,chocolate bar,巧克力,bar | candy | chocolate | dessert | halloween | sweet | tooth,万圣节 | 巧克力 | 巧克力棒 | 甜 | 甜品 | 甜点 | 糖果,CLDR release-46 annotations
🍬,candy,糖,candy | cavities | dessert | halloween | restaurant | sweet | tooth | wrapper,万圣节 | 嗜甜食 | 爱吃甜食 | 甜 | 甜点 | 糖 | 糖果 | 糖果纸 | 蛀牙 | 餐馆,CLDR release-46 annotations
